ID,種別,報告者,優先度,端末,OS,ブラウザ,ページURL,概要,詳細,ステータス,対応者,対応完了,コメント,調査結果,いちろう返答,対応ブランチ,対応Phase,テストファイル予定,実装内容,前提条件
64,,一郎,緊急,,,,,限定・指名求人機能オープンまでに必須,,対応・未チェック,川嶋,FALSE,,,,feature/limited-jobs,Phase 2,limited-jobs.spec.ts,DBスキーマ拡張・求人作成フォーム拡張・ワーカー選択UI・求人フィルタリング,Prismaマイグレーション
69,バグ,,緊急,,,,,求人一覧の表示がうまくいかない,遅い、応募できないはずの求人が出てくる、出るべき求人が出ない,調査中,,FALSE,,,他課題で速度対応中,fix/critical-bugs,Phase 1,job-list-fix.spec.ts,クエリ最適化・フィルタリングロジック修正・キャッシュ戦略見直し,インデックス確認
71,その他,一郎,緊急,,,,,メール・通知周りの機能が実装されていない可能性がある,チャットは一部確認済み,調査中,,FALSE,,,,feature/notifications,Phase 2,notifications.spec.ts,通知設定モデル追加・通知サービス実装・メール送信連携,メールサービス設定（Resend/SendGrid）
72,バグ,一郎,緊急,,,,http://localhost:3000/admin/jobs,求人管理、応募管理のソートがおかしい,仕様を確認し正しいステータスを表示するように,,,,FALSE,,,,fix/critical-bugs,Phase 1,sort-fix.spec.ts,ソートロジック修正・期待仕様の明確化,なし
4,遅い,水野,低,android pixsel9pro,android,Google Chrome,https://s-work.netlify.app/messages,メッセージ画面が開けない時がある,,調査中,,,,,,improve/performance,Phase 4,performance.spec.ts,パフォーマンス最適化・SWR導入,なし
67,バグ,安庭,高,MAC,,Google Chrome,https://s-work.netlify.app/?dateIndex=11,仕事を探すページで、3回別々の日付をクリックし、最後の3回目で待機しているとnetlifyのエラーが表示された,,調査中,,FALSE,,コンソールログ確認必要,,fix/high-priority-bugs,Phase 1,error-handling.spec.ts,エラーハンドリング改善・リトライ処理追加,エラーログ分析
70,その他,一郎,高,,,,,全体的にスピードが遅い,,調査中,,FALSE,,,SWR導入・スケルトンUI・APIエンドポイント化,66と同様,improve/performance,Phase 4,performance.spec.ts,SWR導入・スケルトンUI追加・クライアントフェッチ最適化,なし
35,提案,大東,高,iPhone 16e,ios26.2,Google Chrome,https://s-work.netlify.app/jobs/244?date=2025-12-22,求人ページが全体的に左に寄っている、右に余白がある,,,,FALSE,,,,improve/ux-enhancements,Phase 4,ux-improvements.spec.ts,レイアウト修正・中央寄せ・余白調整,なし
58,提案,大東,高,iPhone 16e,ios26.2,Google Chrome,https://s-work.netlify.app/mypage/profile?returnUrl=%2Fjobs%2F244,身分証の選択と、マスキングすべき場所を指示して、枠に合わせて勝手に撮影して、必要な項目のみを保存したい,,,,FALSE,,,,feature/id-verification,Phase 3,id-verification.spec.ts,カメラUI・画像処理・マスキング機能,カメラAPI連携
38,提案,伊藤,高,iPhone 16e,iOS18.4,Google Chrome,,ワーカーの新規登録画面で、メールアドレスの有効性の確認ステップがありません,誤入力の可能性もあり,,,FALSE,,,,feature/email-verification,Phase 3,email-verification.spec.ts,メール確認フロー・認証コード送信,メールサービス連携
44,提案,大東,緊急,iPhone 16e,ios26.2,Google Chrome,,①案件みるための情報②応募段階で必要な情報③就業するために必要な情報,ワーカー登録時情報を整理,要ヒアリング,,FALSE,具体的にはどうしたい？,,,,要ヒアリング,-,-,仕様確認後に実装計画策定,仕様ヒアリング
25,提案,伊東,高,windowsPC,11Pro,Google Chrome,,同一法人での勤務時間を管理したいので、新規登録時に法人番号などの登録を必須にしておいてもらいたい,,要ヒアリング,川嶋,FALSE,法人番号必須にしたが意味が不明確,,,,要ヒアリング,-,-,仕様確認後に実装計画策定,仕様ヒアリング
10,バグ,水野,普,windowsPC,11Pro,Google Chrome,https://s-work.netlify.app/admin/workers/1,トーク画面を開いたままだと新規メッセージを受信しない,リロードすれば表示される,要ヒアリング,,FALSE,,,リアルタイム確認は処理が重くなる,10秒に1回確認提案,improve/realtime-messages,Phase 4,realtime-messages.spec.ts,ポーリング実装・WebSocket検討,パフォーマンス影響評価
